signal_ts,s,date,side,hold_bars,exit_type,ret_trigger_bps,ret_fill_bps,ret_with_stop_bps,stopped,tod_bucket,f01_atr5_bps,f02_atr5_slope_3,f03_bar_range_over_atr,f04_rsi_jump,f05_bars_since_cross,f06_buffer_over_range,f07_minutes_since_open,f08_ret_since_open_bps,f09_dist_from_vwap_bps,f10_session_range_over_adr,f11_overnight_gap_bps,f17_day_of_week,f12_spy_align,f13_qqq_align,f14_spy_dia_corr_20,f15a_spy_rvol20,f15b_spy_rvol20_chg,f16a_is_fomc_day,f16b_days_to_fomc,selected_oof
2018-05-18 14:25:00-04:00,9028,2018-05-18,long,7,recross,-5.259963584867306,-5.259963584867306,-5.259963584868455,True,close,4.83914689476948,-0.3332872749117435,0.7526636782013322,0.8007522884732268,11.0,0.2222222222222138,290.0,5.263797222334512,1.4398556630733004,0.3909283491729806,-27.055403004360663,4,5.157867590170895,3.578457684738634,0.9507004051406988,10.953610912642308,-0.21194291651807795,0.0,26.0,True
2018-05-21 14:20:00-04:00,9105,2018-05-21,short,1,recross,-4.4035228182551505,-4.4035228182551505,-4.4035228182551505,False,close,5.538726595973924,-0.24922628947348446,0.9395204127614255,-3.066627133138276,57.0,0.15384615384615924,285.0,-24.07511435679297,5.163963663188304,0.5325755682781872,-91.10418269425436,0,10.968119333136794,24.333788355391796,0.9015277788937228,10.511912398117254,-0.44169851452505426,0.0,23.0,False
2018-05-21 14:25:00-04:00,9106,2018-05-21,long,2,recross,-14.40745778986911,-14.40745778986911,-6.801632391774663,True,close,5.46997896184456,0.27895470535173494,0.95102391958351,2.133109435903556,1.0,0.15384615384615924,290.0,27.285129604365896,-1.9472694989078494,0.5325755682781872,91.10418269425436,0,-12.06184436565616,-23.736055067647975,0.8870707219022607,10.511912398117254,-0.44169851452505426,0.0,23.0,True
2018-05-21 14:55:00-04:00,9112,2018-05-21,long,2,recross,-6.001920614596898,-6.001920614596898,-6.001920614596898,False,close,6.52409119623413,-0.7424629428302074,0.7973967332286622,3.045200248131522,4.0,0.15384615384615924,320.0,26.883877698418566,-1.844850825014077,0.5325755682781872,91.10418269425436,0,1.354205173063061,6.546060461796177,0.9157035023712204,10.511912398117254,-0.44169851452505426,0.0,23.0,True
2018-05-21 15:05:00-04:00,9114,2018-05-21,short,1,recross,-2.402210033231801,-2.402210033231801,-2.402210033231801,False,close,5.810461969563342,-1.0473729837284642,0.6889921740720791,-2.7175296335785504,2.0,0.20000000000001136,330.0,-22.87135863895326,5.7834337809098235,0.5325755682781872,-91.10418269425436,0,-2.5634452704426103,-2.63157894736743,0.910498612556112,10.511912398117254,-0.44169851452505426,0.0,23.0,True
2018-05-21 15:10:00-04:00,9115,2018-05-21,long,4,recross,-6.402817239586418,-6.402817239586418,-7.603345472008729,True,close,5.848675991921356,-0.6754152043127739,1.026612368497582,0.8165947241075102,1.0,0.13333333333332828,335.0,24.07511435679297,-4.552947061736197,0.5325755682781872,91.10418269425436,0,2.5706771427258523,3.27400440502279,0.9243799537090898,10.511912398117254,-0.44169851452505426,0.0,23.0,True
2018-05-22 11:35:00-04:00,9150,2018-05-22,short,6,recross,-2.0026434894064713,-2.0026434894064713,-2.0026434894064713,False,midday,5.982767932408744,-1.2904866335082437,1.0041253989665437,-2.3432029812335173,3.0,0.13333333333332828,120.0,27.159803490833838,5.5570689837764675,0.409232431117155,-18.4066263854991,1,-1.2785855191044249,3.5589299483951287,0.9676675797356489,10.753812890235924,0.24190049211867048,0.0,22.0,False
2018-05-23 14:00:00-04:00,9257,2018-05-23,short,1,recross,-4.048091324940061,-4.048091324940061,-4.048091324941211,True,midday,5.573128793195628,-1.1760910577650838,0.4357704930602414,-1.007359571045484,1.0,0.3333333333333207,265.0,-8.72630043752991,-1.2449703343074083,0.5363305661785251,53.592295603819316,2,-4.050371897783567,-7.144345548180109,0.9550062530205807,9.435071712859742,-1.3187411773761823,0.0,21.0,False
2018-05-25 11:55:00-04:00,9388,2018-05-25,short,41,recross,17.362513122829963,17.362513122829963,17.362513122829963,False,midday,6.670903333493325,-0.8199318585827937,0.544646005342041,-1.1178292138920014,1.0,0.2222222222222138,140.0,-12.125621438099163,-4.719048966306615,0.4529484241342576,19.76603469140819,4,1.2843565373732435,-3.8215062613899953,0.9621644491904235,8.966320830971204,-0.47826945152351286,0.0,19.0,False
2018-05-25 15:20:00-04:00,9429,2018-05-25,long,4,recross,-3.6394516559517904,-3.6394516559517904,-3.6394516559517904,False,close,6.234447278113665,-0.09130904041812116,0.9730989459355688,3.784317707853589,41.0,0.13333333333332828,345.0,-6.46699810031917,-5.532017971921137,0.5776131280244128,-19.76603469140819,4,10.660533578656928,8.254716981133114,0.9214214088882955,8.966320830971204,-0.47826945152351286,0.0,19.0,True
