ticker,dir,setup_date,fill_date,exit_date,exit_type,entry_px,exit_px,stop_px,hold_sessions,gross_bps,risk_bps,r_multiple,penetration_bps,asset_class
EFA,long,2007-08-10,2007-08-13,2007-08-14,stop,43.3518,42.4698,42.4698,1,-203.441,203.441,-1.0,197.266,equity
SPY,long,2007-08-15,2007-08-16,2007-08-21,time_moc,100.5175,102.1999,99.1506,3,167.374,135.984,1.231,133.994,equity
GLD,long,2007-08-16,2007-08-17,2007-08-22,time_moc,64.74,65.4,63.46,3,101.946,197.714,0.516,194.625,commodity
DBC,short,2007-09-12,2007-09-13,2007-09-17,stop,21.4236,21.6629,21.6629,2,-111.695,111.695,-1.0,102.359,commodity
EFA,short,2007-10-05,2007-10-08,2007-10-11,stop_gap,46.18,47.8457,47.2073,3,-360.687,222.451,-1.621,59.308,equity
DBC,short,2007-10-18,2007-10-19,2007-10-24,time_moc,23.5047,23.3341,23.5878,3,72.564,35.353,2.053,13.822,commodity
SPY,long,2007-10-19,2007-10-22,2007-10-24,stop,106.6199,106.026,106.026,2,-55.702,55.702,-1.0,53.826,equity
IEF,short,2007-11-02,2007-11-05,2007-11-08,time_moc,53.9106,54.1109,54.1018,3,-37.146,35.473,-1.047,31.763,bond
EEM,long,2007-11-12,2007-11-13,2007-11-16,time_moc,33.6722,34.3193,32.3501,3,192.18,392.632,0.489,263.088,equity
EFA,long,2007-11-12,2007-11-13,2007-11-16,time_moc,45.554,45.4534,44.8733,3,-22.086,149.434,-0.148,123.926,equity
EFA,long,2007-11-19,2007-11-20,2007-11-26,time_moc,44.8933,44.6206,43.5877,3,-60.745,290.817,-0.209,286.362,equity
EEM,long,2007-11-21,2007-11-23,2007-11-26,stop,32.523,31.7253,31.7253,1,-245.27,245.27,-1.0,192.11,equity
EEM,short,2007-12-06,2007-12-07,2007-12-12,time_moc,35.8401,35.2342,36.1926,3,169.049,98.349,1.719,92.768,equity
DBC,short,2007-12-12,2007-12-13,2007-12-17,stop_gap,25.8013,26.2594,26.1462,2,-177.576,133.666,-1.329,125.914,commodity
TLT,long,2007-12-14,2007-12-17,2007-12-20,time_moc,51.9115,53.0287,51.5766,3,215.219,64.516,3.336,27.451,bond
TLT,long,2007-12-26,2007-12-27,2008-01-02,time_moc,52.0114,54.0144,51.4512,3,385.123,107.706,3.576,24.111,bond
TLT,short,2008-01-15,2008-01-16,2008-01-17,stop,54.531,54.7398,54.7398,1,-38.301,38.301,-1.0,34.633,bond
SPY,long,2008-01-16,2008-01-17,2008-01-18,stop_gap,98.1583,95.9716,97.0585,1,-222.77,112.041,-1.988,103.04,equity
TLT,long,2008-02-07,2008-02-08,2008-02-13,time_moc,53.5532,53.1455,52.8541,3,-76.139,130.553,-0.583,100.463,bond
TLT,long,2008-02-14,2008-02-15,2008-02-19,stop,52.8741,52.0558,52.0558,1,-154.759,154.759,-1.0,150.976,bond
EFA,short,2008-02-26,2008-02-27,2008-03-03,time_moc,42.075,41.1636,42.5665,3,216.622,116.818,1.854,94.005,equity
TLT,short,2008-03-12,2008-03-13,2008-03-14,stop,54.2893,54.586,54.586,1,-54.649,54.649,-1.0,50.965,bond
GLD,short,2008-03-13,2008-03-14,2008-03-17,stop_gap,98.03,99.32,98.74,1,-131.592,72.427,-1.817,59.166,commodity
EEM,long,2008-03-17,2008-03-18,2008-03-20,stop,29.505,28.209,28.209,2,-439.238,439.238,-1.0,372.272,equity
EFA,long,2008-03-17,2008-03-18,2008-03-20,stop,40.1547,38.9008,38.9008,2,-312.27,312.27,-1.0,155.604,equity
EEM,short,2008-04-16,2008-04-17,2008-04-18,stop_gap,32.4136,32.938,32.9163,1,-161.763,155.086,-1.043,73.211,equity
DBC,short,2008-04-16,2008-04-17,2008-04-22,time_moc,32.2754,32.6017,32.5617,3,-101.091,88.718,-1.139,82.521,commodity
GLD,long,2008-04-29,2008-04-30,2008-05-01,stop_gap,86.1,84.51,85.53,1,-184.669,66.202,-2.789,59.234,commodity
TLT,long,2008-05-06,2008-05-07,2008-05-12,time_moc,52.9252,53.6587,52.7366,3,138.604,35.628,3.89,31.849,bond
SPY,short,2008-05-15,2008-05-16,2008-05-19,stop_gap,101.8983,102.2233,102.1044,1,-31.89,20.227,-1.577,18.265,equity
UUP,long,2008-05-21,2008-05-22,2008-05-28,time_moc,18.5731,18.7208,18.4867,3,79.505,46.511,1.709,35.743,dollar
SPY,long,2008-05-23,2008-05-27,2008-05-30,time_moc,98.7259,100.4624,98.4267,3,175.896,30.302,5.805,28.276,equity
EEM,long,2008-06-04,2008-06-05,2008-06-06,stop,33.173,32.8172,32.8172,1,-107.252,107.252,-1.0,59.273,equity
IEF,long,2008-06-12,2008-06-13,2008-06-16,stop,55.9492,55.8059,55.8059,1,-25.615,25.615,-1.0,22.041,bond
UUP,short,2008-07-29,2008-07-30,2008-07-31,stop,18.8602,18.9051,18.9051,1,-23.804,23.804,-1.0,13.2,dollar
GLD,long,2008-07-30,2008-07-31,2008-08-04,stop,91.05,88.07,88.07,2,-327.293,327.293,-1.0,203.185,commodity
EEM,long,2008-08-04,2008-08-05,2008-08-07,stop,28.4861,28.0797,28.0797,2,-142.641,142.641,-1.0,135.62,equity
UUP,short,2008-08-15,2008-08-18,2008-08-21,time_moc,19.8228,19.5423,19.876,3,141.473,26.835,5.272,16.745,dollar
GLD,long,2008-09-09,2008-09-10,2008-09-11,stop_gap,76.88,73.61,76.23,1,-425.338,84.547,-5.031,48.127,commodity
GLD,short,2008-09-17,2008-09-18,2008-09-19,stop,84.53,85.61,85.61,1,-127.765,127.765,-1.0,125.399,commodity
EFA,long,2008-09-29,2008-09-30,2008-10-03,time_moc,32.2645,31.0905,30.5723,3,-363.867,524.461,-0.694,450.76,equity
SPY,long,2008-09-29,2008-09-30,2008-10-03,time_moc,82.1294,79.8358,80.2816,3,-279.271,224.986,-1.241,191.621,equity
DBC,long,2008-10-02,2008-10-03,2008-10-06,stop_gap,26.3943,25.3023,26.0164,1,-413.728,143.173,-2.89,135.595,commodity
UUP,short,2008-10-02,2008-10-03,2008-10-08,time_moc,20.5945,20.5962,21.1456,3,-0.826,267.589,-0.003,257.878,dollar
EEM,long,2008-10-22,2008-10-23,2008-10-24,stop_gap,15.2618,13.2905,14.4875,1,-1291.681,507.385,-2.546,494.28,equity
TLT,long,2008-10-31,2008-11-03,2008-11-06,time_moc,55.041,56.3232,54.7702,3,232.959,49.194,4.736,39.746,bond
SPY,long,2008-11-19,2008-11-20,2008-11-21,stop_gap,59.4057,56.0457,58.5391,1,-565.603,145.869,-3.877,142.502,equity
EEM,long,2008-11-20,2008-11-21,2008-11-26,time_moc,13.7431,16.0474,12.485,3,1676.646,915.461,1.831,469.062,equity
EFA,long,2008-11-20,2008-11-21,2008-11-26,time_moc,22.0256,24.3853,20.7423,3,1071.334,582.636,1.839,522.408,equity
EEM,short,2008-12-10,2008-12-11,2008-12-16,time_moc,16.9495,18.091,17.2369,3,-673.499,169.597,-3.971,157.797,equity
IEF,short,2008-12-15,2008-12-16,2008-12-17,stop_gap,64.1087,66.0994,64.4268,1,-310.524,49.619,-6.258,46.499,bond
EEM,short,2009-01-02,2009-01-05,2009-01-06,stop_gap,18.0814,18.7004,18.3487,1,-342.307,147.839,-2.315,106.674,equity
EFA,short,2009-01-02,2009-01-05,2009-01-08,time_moc,26.4346,26.6593,26.9947,3,-85.03,211.883,-0.401,90.691,equity
GLD,short,2009-01-30,2009-02-02,2009-02-05,time_moc,89.88,90.12,91.5,3,-26.703,180.24,-0.148,144.637,commodity
SPY,long,2009-02-20,2009-02-23,2009-02-24,stop_gap,57.0915,54.9178,55.2579,1,-380.733,321.159,-1.185,250.416,equity
EEM,long,2009-02-23,2009-02-24,2009-02-27,time_moc,14.7364,14.7642,14.5595,3,18.876,120.047,0.157,66.069,equity
DBC,long,2009-03-02,2009-03-03,2009-03-06,time_moc,15.4461,16.2324,15.2417,3,509.031,132.363,3.846,60.207,commodity
SPY,short,2009-04-02,2009-04-03,2009-04-08,time_moc,61.1853,60.6297,62.1677,3,90.818,160.557,0.566,157.288,equity
GLD,long,2009-04-06,2009-04-07,2009-04-13,time_moc,86.84,87.88,84.96,3,119.76,216.49,0.553,214.187,commodity
SPY,short,2009-04-09,2009-04-13,2009-04-16,stop_gap,62.1477,63.1274,63.0566,3,-157.644,146.25,-1.078,143.032,equity
EFA,short,2009-04-24,2009-04-27,2009-04-29,stop,24.1868,24.7292,24.7292,2,-224.238,224.238,-1.0,95.378,equity
DBC,short,2009-05-20,2009-05-21,2009-05-26,stop,18.439,18.821,18.821,2,-207.166,207.166,-1.0,137.551,commodity
TLT,long,2009-06-05,2009-06-08,2009-06-09,stop,54.8289,54.2973,54.2973,1,-96.946,96.946,-1.0,42.889,bond
EEM,long,2009-06-22,2009-06-23,2009-06-26,time_moc,21.4256,22.6595,21.2565,3,575.916,78.894,7.3,64.917,equity
EFA,long,2009-07-07,2009-07-08,2009-07-10,stop_gap,26.7817,26.5069,26.6359,2,-102.601,54.457,-1.884,46.989,equity
GLD,long,2009-07-08,2009-07-09,2009-07-14,time_moc,89.96,90.81,88.81,3,94.487,127.834,0.739,125.611,commodity
TLT,short,2009-07-08,2009-07-09,2009-07-14,time_moc,57.8268,57.2501,58.9088,3,99.74,187.109,0.533,183.65,bond
SPY,short,2009-07-15,2009-07-16,2009-07-17,stop_gap,68.7072,69.4904,69.094,1,-113.978,56.294,-2.025,30.107,equity
EFA,short,2009-07-16,2009-07-17,2009-07-20,stop_gap,28.2044,28.742,28.4742,1,-190.62,95.642,-1.993,29.985,equity
GLD,short,2009-07-20,2009-07-21,2009-07-22,stop,92.99,93.81,93.81,1,-88.182,88.182,-1.0,86.031,commodity
IEF,short,2009-08-17,2009-08-18,2009-08-19,stop_gap,61.7897,62.0199,61.8535,1,-37.251,10.326,-3.608,7.089,bond
TLT,short,2009-08-17,2009-08-18,2009-08-19,stop_gap,57.7025,58.0959,57.8495,1,-68.188,25.488,-2.675,22.022,bond
SPY,short,2009-09-10,2009-09-11,2009-09-14,stop,77.0825,77.4793,77.4793,1,-51.475,51.475,-1.0,48.881,equity
UUP,long,2009-10-08,2009-10-09,2009-10-14,stop_gap,18.9051,18.7464,18.7782,3,-83.959,67.154,-1.25,22.095,dollar
TLT,long,2009-10-15,2009-10-16,2009-10-21,time_moc,58.4753,59.0589,57.9616,3,99.8,87.854,1.136,52.932,bond
TLT,long,2009-10-26,2009-10-27,2009-10-30,time_moc,57.9816,58.8378,57.4579,3,147.661,90.326,1.635,86.877,bond
UUP,long,2009-11-16,2009-11-17,2009-11-20,time_moc,18.6712,18.7464,18.4941,3,40.269,94.842,0.425,44.743,dollar
UUP,long,2009-11-25,2009-11-27,2009-12-02,time_moc,18.713,18.4958,18.3855,3,-116.072,174.986,-0.663,58.035,dollar
TLT,long,2009-12-10,2009-12-11,2009-12-15,stop_gap,56.9854,56.6129,56.8378,2,-65.361,25.889,-2.525,22.38,bond
GLD,long,2009-12-17,2009-12-18,2009-12-21,stop,108.73,107.27,107.27,1,-134.278,134.278,-1.0,132.438,commodity
GLD,short,2010-01-11,2010-01-12,2010-01-15,time_moc,111.9,110.86,113.6,3,92.94,151.921,0.612,150.133,commodity
EEM,long,2010-01-22,2010-01-25,2010-01-26,stop_gap,28.3706,27.6636,27.9364,1,-249.19,153.039,-1.628,136.647,equity
TLT,short,2010-01-21,2010-01-22,2010-01-27,time_moc,56.9924,56.8087,57.3336,3,32.24,59.874,0.538,56.364,bond
IEF,short,2010-02-04,2010-02-05,2010-02-08,stop_gap,62.7073,62.839,62.7866,1,-20.997,12.645,-1.66,8.881,bond
GLD,long,2010-03-24,2010-03-25,2010-03-30,time_moc,107.0,107.97,106.23,3,90.654,71.963,1.26,33.645,commodity
IEF,long,2010-04-05,2010-04-06,2010-04-09,time_moc,61.7261,62.0666,61.3946,3,55.171,53.695,1.027,50.455,bond
SPY,short,2010-04-23,2010-04-26,2010-04-29,time_moc,91.0917,90.5696,91.329,3,57.311,26.053,2.2,23.857,equity
GLD,short,2010-04-27,2010-04-28,2010-04-30,stop_gap,114.03,115.26,114.83,2,-107.867,70.157,-1.538,60.511,commodity
SPY,long,2010-05-04,2010-05-05,2010-05-06,stop_gap,88.1366,87.1225,87.6071,1,-115.067,60.086,-1.915,57.817,equity
EEM,long,2010-05-20,2010-05-21,2010-05-25,stop_gap,25.8709,25.0761,25.4408,2,-307.193,166.226,-1.848,158.496,equity
IEF,short,2010-06-07,2010-06-08,2010-06-11,time_moc,65.6594,65.4632,65.8797,3,29.889,33.547,0.891,3.534,bond
EEM,short,2010-06-15,2010-06-16,2010-06-17,stop_gap,27.9323,28.314,28.2816,1,-136.674,125.069,-1.093,50.62,equity
EFA,short,2010-06-15,2010-06-16,2010-06-18,stop,30.5702,30.9825,30.9825,2,-134.876,134.876,-1.0,35.892,equity
GLD,short,2010-06-18,2010-06-21,2010-06-24,time_moc,122.44,121.3,123.51,3,93.106,87.39,1.065,85.757,commodity
GLD,long,2010-07-01,2010-07-02,2010-07-06,stop,118.21,116.97,116.97,1,-104.898,104.898,-1.0,5.922,commodity
EFA,short,2010-07-13,2010-07-14,2010-07-15,stop_gap,31.3655,31.6818,31.5864,1,-100.851,70.422,-1.432,60.373,equity
IEF,short,2010-07-16,2010-07-19,2010-07-20,stop,67.2636,67.4141,67.4141,1,-22.381,22.381,-1.0,8.358,bond
EFA,short,2010-07-23,2010-07-26,2010-07-27,stop_gap,31.8145,32.4075,32.0144,1,-186.401,62.823,-2.967,56.536,equity
DBC,short,2010-07-22,2010-07-23,2010-07-28,time_moc,18.9193,18.8279,19.0915,3,48.338,91.007,0.531,80.436,commodity
UUP,long,2010-07-26,2010-07-27,2010-07-28,stop,19.9928,19.906,19.906,1,-43.432,43.432,-1.0,33.428,dollar
DBC,short,2010-07-29,2010-07-30,2010-08-02,stop_gap,19.0139,19.7241,19.1845,1,-373.499,89.742,-4.162,48.911,commodity
SPY,short,2010-08-02,2010-08-03,2010-08-04,stop,84.5378,85.0472,85.0472,1,-60.259,60.259,-1.0,57.893,equity
IEF,short,2010-08-03,2010-08-04,2010-08-05,stop,67.7385,67.8312,67.8312,1,-13.698,13.698,-1.0,10.746,bond
GLD,short,2010-08-12,2010-08-13,2010-08-16,stop_gap,118.69,119.7,118.87,1,-85.096,15.166,-5.611,13.481,commodity
EFA,long,2010-08-20,2010-08-23,2010-08-24,stop_gap,31.3593,30.7205,31.002,1,-203.719,113.949,-1.788,98.892,equity
GLD,short,2010-08-25,2010-08-26,2010-08-27,stop,120.98,121.39,121.39,1,-33.89,33.89,-1.0,32.237,commodity
IEF,short,2010-08-24,2010-08-25,2010-08-30,time_moc,69.6079,69.6249,70.0365,3,-2.449,61.58,-0.04,58.707,bond
EEM,short,2010-09-20,2010-09-21,2010-09-22,stop,30.968,31.1446,31.1446,1,-57.015,57.015,-1.0,50.556,equity
EFA,short,2010-09-20,2010-09-21,2010-09-22,stop_gap,33.6938,33.9395,33.9123,1,-72.919,64.842,-1.125,58.906,equity
DBC,short,2010-09-24,2010-09-27,2010-09-29,stop,20.0184,20.1821,20.1821,2,-81.787,81.787,-1.0,71.796,commodity
TLT,long,2010-10-15,2010-10-18,2010-10-21,time_moc,64.7182,64.3984,63.8704,3,-49.407,130.992,-0.377,104.107,bond
IEF,long,2010-10-27,2010-10-28,2010-11-02,time_moc,69.512,70.045,69.1957,3,76.676,45.495,1.685,42.618,bond
EEM,short,2010-11-02,2010-11-03,2010-11-04,stop_gap,33.4588,34.3157,33.6354,1,-256.095,52.77,-4.853,46.793,equity
IEF,long,2010-11-15,2010-11-16,2010-11-18,stop,69.2157,68.6582,68.6582,2,-80.549,80.549,-1.0,77.659,bond
EFA,long,2010-11-16,2010-11-17,2010-11-22,time_moc,34.9505,35.4467,34.5994,3,141.97,100.465,1.413,47.915,equity
EFA,long,2010-11-23,2010-11-24,2010-11-26,stop,34.7086,34.283,34.283,1,-122.609,122.609,-1.0,91.136,equity
UUP,short,2010-11-23,2010-11-24,2010-11-26,stop_gap,19.1959,19.3896,19.2743,1,-100.953,40.883,-2.469,30.464,dollar
EEM,long,2010-11-23,2010-11-24,2010-11-29,stop,32.4725,31.8718,31.8718,2,-184.978,184.978,-1.0,48.214,equity
UUP,long,2010-12-31,2011-01-03,2011-01-06,time_moc,19.0638,19.4565,18.9536,3,205.96,57.831,3.561,43.821,dollar
UUP,short,2011-01-07,2011-01-10,2011-01-13,time_moc,19.4715,19.0471,19.5333,3,217.964,31.724,6.871,21.452,dollar
IEF,short,2011-01-10,2011-01-11,2011-01-14,stop_gap,67.0791,67.286,67.1747,3,-30.838,14.252,-2.164,1.064,bond
EFA,short,2011-01-13,2011-01-14,2011-01-18,stop_gap,36.8885,37.3831,37.2679,1,-134.08,102.847,-1.304,89.952,equity
GLD,long,2011-01-14,2011-01-18,2011-01-20,stop_gap,133.63,131.76,132.21,2,-139.939,106.264,-1.317,47.893,commodity
SPY,short,2011-01-26,2011-01-27,2011-01-28,stop_gap,98.64,99.0305,98.972,1,-39.586,33.657,-1.176,31.63,equity
EFA,short,2011-01-26,2011-01-27,2011-02-01,time_moc,37.5985,38.0968,37.7249,3,-132.543,33.628,-3.941,28.308,equity
EEM,long,2011-02-10,2011-02-11,2011-02-16,time_moc,32.4818,32.9167,32.0671,3,133.896,127.667,1.049,121.509,equity
EFA,short,2011-02-16,2011-02-17,2011-02-18,stop_gap,38.4161,38.629,38.5513,1,-55.411,35.198,-1.574,26.076,equity
EFA,short,2011-04-06,2011-04-07,2011-04-08,stop_gap,38.1469,38.5037,38.3009,1,-93.55,40.37,-2.317,27.901,equity
IEF,short,2011-04-26,2011-04-27,2011-04-28,stop,67.4372,67.7015,67.7015,1,-39.2,39.2,-1.0,36.234,bond
TLT,short,2011-04-26,2011-04-27,2011-04-29,stop,60.9088,61.3142,61.3142,2,-66.545,66.545,-1.0,63.261,bond
IEF,short,2011-05-13,2011-05-16,2011-05-17,stop_gap,68.7192,69.0463,68.9698,1,-47.589,36.462,-1.305,33.551,bond
SPY,long,2011-05-23,2011-05-24,2011-05-25,stop_gap,101.2185,100.4389,100.5588,1,-77.016,65.168,-1.182,40.018,equity
EEM,long,2011-05-23,2011-05-24,2011-05-27,time_moc,33.376,34.2658,32.8349,3,266.61,162.101,1.645,135.455,equity
UUP,short,2011-05-23,2011-05-24,2011-05-27,time_moc,18.1683,17.911,18.2719,3,141.636,56.99,2.485,45.981,dollar
EEM,long,2011-06-16,2011-06-17,2011-06-22,time_moc,33.0602,33.0792,32.5479,3,5.732,154.968,0.037,86.825,equity
IEF,short,2011-06-16,2011-06-17,2011-06-22,time_moc,70.2902,70.1602,70.5602,3,18.498,38.418,0.481,26.718,bond
TLT,long,2011-06-28,2011-06-29,2011-06-30,stop_gap,62.6242,62.0284,62.3409,1,-95.148,45.239,-2.103,42.046,bond
IEF,long,2011-06-29,2011-06-30,2011-07-01,stop_gap,69.6329,69.3377,69.4278,1,-42.394,29.445,-1.44,7.261,bond
EFA,short,2011-06-30,2011-07-01,2011-07-05,stop_gap,38.3265,38.6392,38.5152,1,-81.599,49.237,-1.657,36.315,equity
GLD,long,2011-07-01,2011-07-05,2011-07-08,time_moc,146.96,150.25,143.96,3,223.87,204.138,1.097,83.696,commodity
UUP,short,2011-07-11,2011-07-12,2011-07-15,time_moc,18.1015,17.9026,18.1716,3,109.853,38.739,2.836,27.69,dollar
DBC,short,2011-07-13,2011-07-14,2011-07-19,stop_gap,25.6659,25.9127,25.8888,3,-96.128,86.848,-1.107,79.056,commodity
IEF,short,2011-07-19,2011-07-20,2011-07-25,time_moc,70.7496,70.2645,70.9696,3,68.57,31.093,2.205,4.77,bond
SPY,long,2011-07-29,2011-08-01,2011-08-02,stop_gap,100.4914,98.1642,98.2771,1,-231.58,220.347,-1.051,126.873,equity
TLT,short,2011-07-29,2011-08-01,2011-08-02,stop_gap,64.5415,65.7542,65.0902,1,-187.904,85.026,-2.21,64.473,bond
EFA,long,2011-08-02,2011-08-03,2011-08-04,stop_gap,36.2941,35.0331,36.006,1,-347.427,79.368,-4.377,73.858,equity
IEF,short,2011-08-18,2011-08-19,2011-08-24,time_moc,75.302,74.3103,76.0188,3,131.689,95.189,1.383,92.533,bond
DBC,short,2011-08-31,2011-09-01,2011-09-07,time_moc,25.4392,25.3293,25.5929,3,43.204,60.428,0.715,39.881,commodity
DBC,long,2011-09-19,2011-09-20,2011-09-21,stop,24.2825,23.8313,23.8313,1,-185.801,185.801,-1.0,177.565,commodity
SPY,long,2011-09-22,2011-09-23,2011-09-28,time_moc,87.4523,88.8906,85.916,3,164.467,175.668,0.936,173.381,equity
EEM,long,2011-10-03,2011-10-04,2011-10-07,time_moc,25.1673,26.4112,24.8429,3,494.244,128.901,3.834,120.954,equity
SPY,long,2011-10-03,2011-10-04,2011-10-07,time_moc,85.936,89.3306,84.7657,3,395.016,136.185,2.901,133.857,equity
TLT,short,2011-10-03,2011-10-04,2011-10-07,time_moc,82.3278,78.7951,82.5169,3,429.106,22.971,18.681,20.541,bond
EFA,short,2011-10-12,2011-10-13,2011-10-14,stop,32.6234,33.1986,33.1986,1,-176.337,176.337,-1.0,170.206,equity
UUP,long,2011-10-14,2011-10-17,2011-10-20,time_moc,18.1616,18.1616,18.0514,3,0.0,60.703,0.0,32.199,dollar
TLT,long,2011-10-21,2011-10-24,2011-10-27,stop_gap,75.9229,74.9832,75.3798,3,-123.761,71.536,-1.73,30.721,bond
EEM,short,2011-10-24,2011-10-25,2011-10-27,stop_gap,28.7785,30.5062,29.3638,2,-600.359,203.392,-2.952,196.443,equity
EFA,short,2011-10-24,2011-10-25,2011-10-27,stop_gap,33.3127,35.1417,33.805,2,-549.039,147.782,-3.715,141.778,equity
IEF,long,2011-10-27,2011-10-28,2011-11-02,time_moc,74.3952,76.1718,73.8723,3,238.8,70.293,3.397,67.605,bond
GLD,short,2011-11-03,2011-11-04,2011-11-07,stop_gap,170.28,172.85,172.05,1,-150.929,103.946,-1.452,102.772,commodity
DBC,short,2011-11-08,2011-11-09,2011-11-14,time_moc,23.7906,23.5454,24.1472,3,103.056,149.903,0.687,35.536,commodity
EFA,long,2011-11-09,2011-11-10,2011-11-15,time_moc,32.5185,32.3844,31.7936,3,-41.217,222.898,-0.185,45.142,equity
UUP,short,2011-11-09,2011-11-10,2011-11-15,time_moc,18.2786,18.3538,18.3972,3,-41.134,64.886,-0.634,45.704,dollar
EFA,long,2011-11-16,2011-11-17,2011-11-18,stop,31.9185,31.7426,31.7426,1,-55.122,55.122,-1.0,15.997,equity
GLD,long,2011-12-12,2011-12-13,2011-12-14,stop_gap,162.08,156.79,161.13,1,-326.383,58.614,-5.568,57.38,commodity
IEF,short,2011-12-14,2011-12-15,2011-12-16,stop_gap,76.8748,77.1529,77.1263,1,-36.173,32.714,-1.106,14.559,bond
TLT,short,2011-12-19,2011-12-20,2011-12-23,time_moc,82.1541,79.2138,83.075,3,357.9,112.092,3.193,103.759,bond
SPY,short,2011-12-27,2011-12-28,2012-01-03,stop_gap,98.2375,99.259,98.5387,3,-103.989,30.666,-3.391,28.63,equity
SPY,short,2012-01-03,2012-01-04,2012-01-09,time_moc,98.5187,99.461,99.7507,3,-95.647,125.052,-0.765,123.022,equity
UUP,short,2012-01-06,2012-01-09,2012-01-12,time_moc,18.9385,18.855,19.0321,3,44.111,49.392,0.893,30.878,dollar
EEM,short,2012-01-10,2012-01-11,2012-01-12,stop,28.7058,29.0451,29.0451,1,-118.192,118.192,-1.0,104.512,equity
UUP,long,2012-01-23,2012-01-24,2012-01-25,stop,18.6796,18.5442,18.5442,1,-72.438,72.438,-1.0,13.417,dollar
IEF,short,2012-01-30,2012-01-31,2012-02-03,time_moc,77.6592,77.2847,77.9478,3,48.23,37.16,1.298,25.488,bond
DBC,short,2012-02-03,2012-02-06,2012-02-07,stop_gap,23.8821,24.0273,23.9612,1,-60.828,33.155,-1.835,24.78,commodity
UUP,long,2012-02-07,2012-02-08,2012-02-09,stop,18.3303,18.2686,18.2686,1,-33.699,33.699,-1.0,22.788,dollar
EEM,short,2012-02-24,2012-02-27,2012-02-28,stop,31.8815,32.3964,32.3964,1,-161.502,161.502,-1.0,36.722,equity
UUP,long,2012-02-24,2012-02-27,2012-02-29,stop_gap,18.2953,18.1867,18.1934,2,-59.36,55.694,-1.066,22.831,dollar
GLD,long,2012-02-29,2012-03-01,2012-03-06,stop_gap,166.18,162.15,163.99,3,-242.508,131.785,-1.84,130.581,commodity
DBC,short,2012-03-01,2012-03-02,2012-03-07,time_moc,24.9996,24.5092,25.3139,3,196.145,125.745,1.56,64.254,commodity
EEM,long,2012-03-06,2012-03-07,2012-03-12,time_moc,31.2842,31.6913,30.8837,3,130.125,128.02,1.016,121.627,equity
EFA,long,2012-03-06,2012-03-07,2012-03-12,time_moc,34.3147,35.0216,33.9588,3,206.025,103.71,1.987,97.882,equity
GLD,long,2012-03-06,2012-03-07,2012-03-12,time_moc,164.01,165.07,161.77,3,64.631,136.577,0.473,135.358,commodity
SPY,short,2012-03-26,2012-03-27,2012-03-30,time_moc,110.234,109.8772,110.5115,3,32.363,25.174,1.286,23.36,equity
DBC,long,2012-03-29,2012-03-30,2012-04-04,time_moc,24.2994,24.1711,23.9582,3,-52.825,140.442,-0.376,132.211,commodity
SPY,short,2012-04-02,2012-04-03,2012-04-09,time_moc,110.5249,107.8562,110.9797,3,241.457,41.148,5.868,26.829,equity
GLD,long,2012-04-04,2012-04-05,2012-04-11,time_moc,158.14,161.07,156.57,3,185.279,99.279,1.866,98.015,commodity
EEM,long,2012-04-10,2012-04-11,2012-04-16,time_moc,30.6769,30.6961,30.1154,3,6.282,183.031,0.034,176.512,equity
